,id,county,total_pct_below_pov,error_total_pct_below_pov,under18_pct_below_pov,error_under18_pct_below_pov,under05_pct_below_pov,error_under05_pct_below_pov,age05to17_pct_below_pov,error_age05to17_pct_below_pov,total_185pct_poverty,error_total_185pct_poverty
84,0500000US17167,"Sangamon County, Illinois",15.2,0.8,24.4,2.2,28.0,3.3,23.1,2.4,(X),(X)
85,0500000US17169,"Schuyler County, Illinois",21.4,5.1,12.7,6.1,11.0,7.7,13.2,6.6,(X),(X)
86,0500000US17171,"Scott County, Illinois",12.9,2.9,20.0,7.0,27.8,15.4,17.7,6.9,(X),(X)
87,0500000US17173,"Shelby County, Illinois",11.2,1.7,12.3,3.3,9.7,5.9,13.2,3.1,(X),(X)
88,0500000US17175,"Stark County, Illinois",16.1,3.9,29.0,10.5,33.8,18.1,27.4,10.7,(X),(X)
89,0500000US17177,"Stephenson County, Illinois",14.4,1.8,20.8,5.2,30.6,9.1,17.4,4.7,(X),(X)
90,0500000US17179,"Tazewell County, Illinois",8.6,0.8,10.9,1.6,14.6,3.3,9.7,1.9,(X),(X)
91,0500000US17181,"Union County, Illinois",18.1,2.9,23.6,6.0,30.4,11.4,21.4,7.2,(X),(X)
92,0500000US17183,"Vermilion County, Illinois",19.6,1.4,30.0,3.3,35.3,4.5,28.0,3.6,(X),(X)
93,0500000US17185,"Wabash County, Illinois",11.8,3.1,14.2,5.9,20.9,14.3,11.5,5.1,(X),(X)
94,0500000US17187,"Warren County, Illinois",12.4,3.0,15.8,6.8,21.1,9.7,13.8,6.3,(X),(X)
95,0500000US17189,"Washington County, Illinois",8.2,1.5,9.9,3.1,5.1,2.6,11.5,4.0,(X),(X)
96,0500000US17191,"Wayne County, Illinois",14.1,2.5,21.9,5.8,15.2,11.1,24.4,5.8,(X),(X)
97,0500000US17193,"White County, Illinois",13.1,2.1,18.1,4.9,29.3,11.3,14.0,4.1,(X),(X)
98,0500000US17195,"Whiteside County, Illinois",10.6,1.3,15.1,3.2,17.7,4.7,14.3,3.4,(X),(X)
99,0500000US17197,"Will County, Illinois",7.0,0.4,10.0,0.8,11.6,1.4,9.6,0.8,(X),(X)
100,0500000US17199,"Williamson County, Illinois",15.0,1.4,22.3,3.5,27.8,5.1,20.3,3.9,(X),(X)
101,0500000US17201,"Winnebago County, Illinois",15.6,0.7,24.8,1.6,31.3,2.6,22.4,1.8,(X),(X)
102,0500000US17203,"Woodford County, Illinois",7.2,1.2,9.4,2.1,8.3,4.1,9.7,2.4,(X),(X)
